Name	Dataset	Dir_in_dataset	Dir_in_other_set	Enrich_in_other_set	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalues	rank	core_enrichment	tags_pct	list_pct	signal_pct	Compare_Direction
GLYCOLYSIS	CM38	Negative	Negative	-1.939631459	199	-0.40923962	-1.631891644	0.002392344	0.005276488	0.001666259	2628	MERTK/HK2/ARPP19/PKM/ME2/RPE/GNE/SOX9/BIK/IL13RA1/RBCK1/G6PD/PFKP/TPST1/B3GALT6/NDUFV3/PKP2/LHPP/GALE/SLC37A4/CLDN3/PYGL/AGRN/AGL/CHPF/BPNT1/ZNF292/SDC2/GYS2/PLOD1/B3GAT3/NT5E/GFPT1/CYB5A/ALDOB/HS2ST1/ERO1A/PDK3/PYGB/SLC35A3/GPC4/IER3/IDH1/QSOX1/CITED2/P4HA1/SPAG4/CTH/GLRX/CXCR4/VLDLR/VEGFA/PLOD2/SDC3/IGFBP3/DDIT4/SLC16A3/ENO2/ISG20/ANG/STC1/ANGPTL4	0.31	0.14	0.27	Same
FATTY_ACID_METABOLISM	CM38	Negative	Negative	-1.916588936	151	-0.436519078	-1.67621156	0.002386635	0.005276488	0.001666259	3166	SUCLA2/FASN/ECH1/ECI2/ACSL4/AQP7/SERINC1/HMGCS1/AOC3/CPOX/CD1D/CYP1A1/IDI1/S100A10/ALDH3A2/ACADS/ACOX1/EPHX1/ACADVL/ACADL/PSME1/UGDH/LGALS1/CA4/DHCR24/VNN1/CIDEA/CRAT/ETFDH/ACOT8/CBR3/GPD2/HSD17B11/CYP4A11/GLUL/HMGCL/BCKDHB/CA6/ALDH1A1/RDH16/HMGCS2/SUCLG2/FABP1/CD36/PTPRG/IDH1/XIST/ADH1C/HIBCH/ACSM3/GPD1/ACSL1/HAO2/ENO2/MAOA/UBE2L6/G0S2/IL4I1	0.38	0.17	0.32	Same
HYPOXIA	CM38	Negative	Negative	-1.879048409	198	-0.50952412	-2.027024123	0.002409639	0.005276488	0.001666259	2007	SLC2A1/PFKFB3/IDS/RORA/PFKP/TES/MAFF/SRPX/GAA/HK1/B3GALT6/LXN/SLC37A4/PDK1/CAVIN1/GBE1/DUSP1/BHLHE40/PYGM/KLF7/TNFAIP3/TMEM45A/ZFP36/ZNF292/PCK1/SDC2/SLC2A5/MAP3K1/BNIP3L/ALDOB/SDC4/CP/MT2A/ERO1A/PDK3/TGM2/GPC4/PLAUR/IER3/NDRG1/HMOX1/TPD52/JUN/MT1E/CITED2/CDKN1A/P4HA1/NEDD4L/LOX/IL6/GLRX/CXCR4/SERPINE1/VLDLR/VEGFA/SDC3/PGF/IGFBP3/DDIT4/ERRFI1/ENO2/HS3ST1/ISG20/PLIN2/FBP1/AKAP12/ADM/STC1/ANGPTL4	0.35	0.11	0.31	Same
MTORC1_SIGNALING	CM38	Negative	Negative	-1.795995872	194	-0.393749072	-1.564378556	0.004750594	0.008818342	0.00278474	2958	PPP1R15A/ACSL3/PGK1/INSIG1/CTSC/HMGCS1/SLC7A11/ADD3/MAP2K3/HK2/IDI1/PSMD12/LDLR/MTHFD2L/IFI30/SCD/SLC2A1/FADS1/G6PD/BCAT1/FGL2/STARD4/HPRT1/EBP/CALR/TES/DHCR24/CYB5B/BTG2/SLC37A4/PDK1/GBE1/BHLHE40/SLC9A3R1/MLLT11/SRD5A1/IGFBP5/EDEM1/RIT1/ITGB2/CORO1A/SKAP2/SC5D/SLA/ERO1A/ELOVL6/NUPR1/SLC1A5/IDH1/SLC1A4/CDKN1A/FADS2/P4HA1/TM7SF2/CTH/GLRX/CXCR4/VLDLR/TRIB3/FDXR/PLOD2/DDIT4/PHGDH/STC1	0.33	0.16	0.28	Same
ANDROGEN_RESPONSE	CM38	Negative	Negative	-1.54044577	97	-0.379521501	-1.369734119	0.023419204	0.034440006	0.010875791	3709	AKT1/SEC24D/INPP4B/ADAMTS1/STEAP4/PTK2B/ZMIZ1/PDLIM5/B2M/SLC38A2/RAB4A/ACSL3/NGLY1/INSIG1/HMGCS1/RPS6KA3/MERTK/IDI1/MYL12A/H1-0/GNAI3/SCD/FADS1/CCND1/SAT1/DHCR24/CDK6/SPCS3/UBE2J1/UAP1/GPD1L/ACTN1/PGM3/TNFAIP8/IQGAP2/LMAN1/NDRG1/TPD52/KRT8/ALDH1A3/AKAP12	0.42	0.2	0.34	Same
TNFA_SIGNALING_VIA_NFKB	CM38	Negative	Positive	1.355054188	197	-0.60332784	-2.402685147	0.002380952	0.005276488	0.001666259	3220	TUBB2A/GPR183/TNFAIP6/PDLIM5/GADD45B/TLR2/DENND5A/MCL1/TNIP1/PPP1R15A/PTPRE/NFE2L2/RHOB/MXD1/MAP3K8/ICOSLG/IFNGR2/MAP2K3/FUT4/KLF6/PNRC1/ATF3/RELB/TNFRSF9/BIRC2/LDLR/FOS/SNN/RNF19B/INHBA/CXCL3/CD69/PFKFB3/IL6ST/IL15RA/CCND1/LIF/KLF9/NINJ1/MAFF/SAT1/BCL6/SERPINB8/CEBPD/SOCS3/PDE4B/CCRL2/BIRC3/CXCL6/BTG2/TRAF1/SLC16A6/DUSP1/BHLHE40/TNFAIP3/NFKBIA/FOSL1/LITAF/ZFP36/PLK2/ABCA1/CCL20/TNFAIP8/SDC4/NFAT5/CCL4/IRF1/PTGS2/CXCL1/EGR1/GADD45A/PLAUR/IER3/SOD2/IL7R/PLEK/JUN/CCL2/CDKN1A/B4GALT5/TAP1/TNC/PHLDA1/IL6/CEBPB/BCL2A1/SERPINE1/CXCL10/GCH1/VEGFA/DUSP4/KYNU/PHLDA2/CCL5/RCAN1/DDX58/CXCL2/IFIT2/IL1B/CXCL11/NR4A2/G0S2/IFIH1/DRAM1/ICAM1/DUSP5/PTX3	0.54	0.18	0.45	Opposite
IL6_JAK_STAT3_SIGNALING	CM38	Negative	Positive	1.692305739	87	-0.672556609	-2.403959708	0.002237136	0.005276488	0.001666259	3228	STAT3/CSF2RB/A2M/TLR2/SOCS1/TNFRSF1A/MAP3K8/IFNGR2/CSF2RA/IL10RB/TGFB1/OSMR/CXCL3/IL13RA1/GRB2/CBL/IL6ST/IL15RA/IL3RA/CSF3R/SOCS3/EBI3/STAM2/MYD88/IFNAR1/CCL7/IL2RA/ITGB3/TNFRSF21/CD36/INHBE/IRF1/CD38/LEPR/CXCL1/HMOX1/CD14/FAS/STAT1/JUN/TNFRSF1B/IRF9/ITGA4/IL6/CXCL10/CCR1/TNFRSF12A/IL1B/CXCL11/PLA2G2A/PF4	0.59	0.18	0.49	Opposite
INFLAMMATORY_RESPONSE	CM38	Negative	Positive	1.875596036	200	-0.570385573	-2.276304392	0.002392344	0.005276488	0.001666259	3194	GPR183/TNFAIP6/BDKRB1/ADGRE1/STAB1/TLR2/IL10RA/SELENOS/PTPRE/C5AR1/MXD1/LCK/CCL24/ICOSLG/CX3CL1/IFNGR2/KLF6/NLRP3/IL15/KCNA3/TNFRSF9/TLR3/LDLR/P2RX4/INHBA/GNAI3/OSMR/CD69/HPN/IL15RA/LIF/DCBLD2/PTAFR/PTGER2/NMI/MSR1/CSF3R/OSM/PDE4B/CCRL2/EBI3/FFAR2/SLC4A4/CXCL6/BTG2/EIF2AK2/LYN/CYBB/CD82/IFNAR1/NFKBIA/CCL7/TLR1/KCNJ2/CXCR6/PROK2/ABCA1/ITGB3/RGS1/C3AR1/CCL20/TNFSF10/IRF1/PLAUR/IL7R/RGS16/CD14/FPR1/TIMP1/CCL2/SELL/TNFRSF1B/CDKN1A/AQP9/IL6/SERPINE1/CXCL10/LCP2/CD48/GCH1/PCDH7/CCL5/AHR/IFITM1/IL1B/CXCL11/BST2/ICAM1/IRF7/ADM/MARCO/CXCL8	0.46	0.17	0.38	Opposite
COMPLEMENT	CM38	Negative	Positive	1.91059907	199	-0.601245852	-2.39753932	0.002392344	0.005276488	0.001666259	2865	L3MBTL4/CTSC/LCK/CSRP1/JAK2/CFB/CFH/LAP3/FYN/CTSD/PIK3CA/GMFB/PDP1/GNAI3/GRB2/MSRB1/CLU/SCG3/MAFF/LRP1/LTF/LIPA/S100A9/PLAT/LGALS3/F5/SRC/C1S/LYN/CTSB/C9/CD46/F2/CASP9/GNAI2/IRF2/TNFAIP3/GPD2/DOCK4/GZMA/ITGAM/ZEB1/PLG/ITIH1/KLKB1/CD36/IRF1/CP/CXCL1/APOBEC3G/PLAUR/HSPA1A/GNG2/CTSS/PLEK/PSMB9/TIMP1/CPQ/C1QC/C1R/C1QA/FCER1G/C2/CR1/GZMB/C4BPB/IL6/CEBPB/SERPINE1/LCP2/GCA/FCN1/PLSCR1/FN1/APOC1/CASP4/KYNU/CCL5/DUSP6/SERPINA1/SERPING1/S100A12/MMP12/IRF7/CASP1/ANG/DUSP5/ERAP2	0.44	0.16	0.38	Opposite
ALLOGRAFT_REJECTION	CM38	Negative	Positive	2.207393416	197	-0.572943181	-2.281681663	0.002380952	0.005276488	0.001666259	3709	AKT1/CD247/MMP9/IL10/CD3E/IL2RB/HLA-DRA/HDAC9/CD74/CD3G/ITGAL/BCL3/ST8SIA4/ELF4/CCR5/STAB1/TLR2/B2M/CCR2/CD4/IRF8/SOCS1/DYRK3/CD8B/FASLG/ZAP70/HLA-DMB/LCK/JAK2/ICOSLG/CD96/HCLS1/IFNGR2/CD1D/NLRP3/IL15/SIT1/TLR3/TGFB1/INHBA/SOCS5/LY75/IFNG/HLA-A/BCAT1/UBE2D1/HLA-DMA/LIF/GLMN/TRAT1/CD47/CD8A/CRTAM/CCL11/LY86/GCNT1/ITK/HLA-E/KLRD1/MBL2/LYN/FGR/BCL10/IL11/F2/FYB1/CCL7/CD3D/TLR1/IFNAR2/GZMA/IL2RA/ELANE/PTPN6/ITGB2/CCL4/FCGR2B/FLNA/CD86/PRKCB/NCF4/CDKN2A/PTPRC/CTSS/FAS/STAT1/TPD52/TIMP1/CCL2/TAP1/GPR65/PRF1/C2/GZMB/IL6/LCP2/CCR1/GBP2/SRGN/CCL5/F2R/IL1B/INHBB/ICAM1/PF4/IRF7	0.54	0.2	0.43	Opposite
