Symbol	Probeset	ENTREZ	LocusLink	logFC_CM9	AveExpr_CM9	t_CM9	P.Value_CM9	logFC_CM38	AveExpr_CM38	t_CM38	P.Value_CM38
ADAMTS14	140766_at	140766	LOC140766	0.0385	2.4756	1.8275	0.0727	0.046534674	3.361795455	2.295558321	0.02656346
ADAM11	4185_at	4185	LOC4185	0.0344	2.6496	1.7485	0.0856	0.035330917	3.130590909	1.945991199	0.058110109
ADAM20	8748_at	8748	LOC8748	0.0538	2.3345	1.6394	0.1064	0.026422266	3.060454545	1.574478453	0.122596011
ADAM18	8749_at	8749	LOC8749	0.0466	2.3137	2.2446	0.0285	-0.013599402	3.013431818	-1.497407234	0.141482362
ADAMTS13	11093_at	11093	LOC11093	0.0646	2.8637	3.0355	0.0036	0.050652087	3.901113636	1.419392362	0.162885024
ADAM23	8745_at	8745	LOC8745	-0.0321	2.9824	-0.5178	0.6065	0.21233167	5.218477273	1.392572951	0.170800557
MMP17	4326_at	4326	LOC4326	0.0904	3.7905	2.7134	0.0087	0.138271096	5.394477273	1.295844179	0.201837908
ADAM21	8747_at	8747	LOC8747	0.0895	2.8650	2.8215	0.0065	-0.052854329	3.839363636	-1.294156232	0.202415055
ADAM12	8038_at	8038	LOC8038	-0.0716	4.6915	-0.6374	0.5264	0.05510301	3.771681818	1.221226921	0.228553669
ADAM8	101_at	101	LOC101	0.1012	3.9330	2.6068	0.0115	-0.050711538	3.897704545	-1.089057414	0.282103279
MMP11	4320_at	4320	LOC4320	-0.0059	3.2882	-0.1023	0.9189	0.08464993	5.152613636	1.032059829	0.30772723
ADAMTS19	171019_at	171019	LOC171019	0.0112	2.0379	0.6780	0.5004	-0.029215256	3.176931818	-1.014314704	0.316020704
MMP26	56547_at	56547	LOC56547	0.0028	2.1681	0.1543	0.8779	0.015764637	3.0375	0.936413057	0.354211418
MMP12	4321_at	4321	LOC4321	0.4106	4.4766	1.5911	0.1169	-0.269006603	6.034090909	-0.929014086	0.35798966
ADAMTS3	9508_at	9508	LOC9508	0.0079	3.1843	0.1264	0.8999	0.106049411	3.679159091	0.893072941	0.376714266
ADAM33	80332_at	80332	LOC80332	0.0508	2.9713	1.5326	0.1307	0.015709434	3.661045455	0.84688429	0.401677828
