Probeset	logFC	AveExpr	t	P.Value	adj.P.Val	B	ENTREZ	LocusLink	Symbol	IRIS_Most_Specific	p_adj_pc_bonferroni	gsea_rank
5320_at	0.5638929070946646	5.6053559322033895	1.9133747308533469	0.06053642786515617	0.4041614716661674	-4.153411807942986	5320	LOC5320	PLA2G2A	NA	1	1.217983209481555
6362_at	0.5268212513611402	5.615864406779661	2.1764865643830125	0.03351717321058204	0.3417689612427469	-3.69239175908818	6362	LOC6362	CCL18	NA	1	1.474732616259355
28461_at	0.5183358760923148	5.7259322033898306	2.0626743028821615	0.043536413868288215	0.36498708432501537	-3.898030496128969	28461	LOC28461	IGHV1-69	B Cell	1	1.3611473470302429
8685_at	0.5153740750346879	5.6652881355932205	2.7721130421548548	0.0074323992683506986	0.25875101127203715	-2.4720115293305147	8685	LOC8685	MARCO	NA	0.3493227656124828	2.1288709680962365
54210_at	0.4701764036702368	4.62928813559322	2.589116340970717	0.012089273533601449	0.27416053118323463	-2.871535827192392	54210	LOC54210	TREM1	Myeloid	0.5681958560792681	1.9175997958991524
4321_at	0.4106456438804239	4.476559322033898	1.5910930854040701	0.11691150016755464	0.4844934030782004	-4.646680933504612	4321	LOC4321	MMP12	Dendritic Cell	1	0.9321427667367201
7104_at	0.3924669885615909	2.7165593220338984	2.4230278807577363	0.018466408673100305	0.2936127358460152	-3.215702599089247	7104	LOC7104	TM4SF4	NA	0.8679212076357143	1.7336175574622574
126_at	0.38683520571788	2.7628474576271187	3.065470208180406	0.003270846357623332	0.23362649118239576	-1.7898763519921665	126	LOC126	ADH1C	NA	0.1537297788082966	2.485339855631521
5450_at	0.36946882737332765	4.09457627118644	1.6062215030696962	0.11354321558719374	0.48142520710121167	-4.625353599722955	5450	LOC5450	POU2AF1	B Cell	1	0.944838810550986
2318_at	0.3634392141918824	5.211050847457627	2.376328320428534	0.020736856528783175	0.302716979607069	-3.309192254347824	2318	LOC2318	FLNC	NA	0.9746322568528092	1.6832570770536341
2252_at	0.36141211019598984	4.604	1.674786106918793	0.09924807167250735	0.46362069352115864	-4.5264039253175445	2252	LOC2252	FGF7	NA	1	1.0032779225509934
26228_at	0.3516461126647203	2.7458813559322035	2.512778912126305	0.014719658210537558	0.27962710288563974	-3.031955173732421	26228	LOC26228	STAP1	B Cell	0.6918239358952653	1.8321022741697732
54474_at	0.34846638298407007	2.4757118644067795	2.724268050223518	0.008456934852456365	0.25875101127203715	-2.5784652500512424	54474	LOC54474	KRT20	NA	0.3974759380654492	2.072787014960076
6424_at	0.34529281402686973	4.323050847457627	1.6965981016019656	0.09502187390232938	0.45712493086175504	-4.494143881413104	6424	LOC6424	SFRP4	NA	1	1.022176409220785
10216_at	0.34299835538625806	3.5641694915254236	2.1689757584521945	0.03410988646754675	0.34240794680476255	-3.7062489764284834	10216	LOC10216	PRG4	NA	1	1.467119726110047
81035_at	0.34222010036456635	5.269406779661017	2.1150873292828574	0.038638246097406105	0.3534733341255807	-3.8044891109682366	81035	LOC81035	COLEC12	NA	1	1.4129825957013213
677840_at	0.3331224093810053	5.419033898305084	1.7133010203000067	0.09188649613795134	0.45347438739779283	-4.469186714485181	677840	LOC677840	SNORA71D	NA	1	1.0367483088934621
366_at	0.3238360537854049	4.973813559322034	1.758425749595674	0.08384003907915179	0.440467922002986	-4.40066875321309	366	LOC366	AQP9	NA	1	1.0765485279288598
729_at	0.3182034991849036	3.5764745762711865	1.7542370971431804	0.08456144971743	0.44099710269654385	-4.407095814379248	729	LOC729	C6	NA	1	1.0728275801130807
1690_at	0.31670222417896376	2.696372881355932	2.8624986321259214	0.005802020845795955	0.24718500432552146	-2.2671538979509687	1690	LOC1690	COCH	NA	0.27269497975240986	2.236420715175221
3914_at	0.3160625870290192	5.093271186440678	2.5153802136979184	0.014622118726203176	0.2790825969828563	-3.0265506643133713	3914	LOC3914	LAMB3	NA	0.6872395801315493	1.8349896941065353
29091_at	0.3153443171151787	4.287898305084746	2.359435202501363	0.021617718399401332	0.30600533496306426	-3.3426491677761616	29091	LOC29091	STXBP6	NA	1	1.6651901447415742
3960_at	0.31502378375523615	3.6567457627118642	1.332924962062521	0.18766032377506017	0.561559760365234	-4.981914548947961	3960	LOC3960	LGALS4	NA	1	0.7266275387104695
677810_at	0.3121305062693971	4.292220338983051	1.9279862483868282	0.05865456462365513	0.3988553349051261	-4.129152055766761	677810	LOC677810	SNORA26	NA	1	1.231698184507933
7032_at	0.3045075488193953	2.8324406779661015	2.2841929018119074	0.025959742696422143	0.3202665043457031	-3.4893019256374775	7032	LOC7032	TFF2	NA	1	1.585699616420121
56133_at	0.30428485479620765	4.340661016949152	1.5860586857962904	0.1180500727882223	0.48491658963726525	-4.653737462474938	56133	LOC56133	PCDHB2	NA	1	0.927933740804538
85390_at	0.301434839787472	6.1591525423728815	1.7722451269173651	0.08149608253668239	0.437566483519544	-4.379367512657029	85390	LOC85390	SNORD14D	NA	1	1.0888632670096212
55600_at	0.30016221637298235	3.446779661016949	1.8645217194729269	0.06720499110369897	0.41400319756805826	-4.233350954766497	55600	LOC55600	ITLN1	NA	1	1.1725984720607234
6590_at	0.29940952255538555	5.908203389830509	1.418359454355009	0.1613253863144581	0.5344227165975386	-4.877046036209853	6590	LOC6590	SLPI	NA	1	0.7922972862454054
56130_at	0.2972223876671445	3.0874067796610167	2.1795669108132114	0.0332767127584714	0.34127663035385564	-3.686697010772173	56130	LOC56130	PCDHB6	NA	1	1.4778595820618583
4935_at	0.29713364317527435	3.9351694915254236	1.8288157904751499	0.07246231248410687	0.4233084633980335	-4.290627735314234	4935	LOC4935	GPR143	NA	1	1.1398878104745171
245972_at	0.2958806029403572	3.756271186440678	1.6865527824268518	0.0969494878777715	0.4596031837555234	-4.509047605851068	245972	LOC245972	ATP6V0D2	NA	1	1.0134544806796062
79931_at	0.2955012702290251	3.7715593220338985	2.98666544683053	0.0040973008919519965	0.2440343686684378	-1.9779497552033134	79931	LOC79931	TNIP3	Multiple	0.19257314192174385	2.387502141754426
10720_at	0.29521458154114694	3.459728813559322	1.7171828410836574	0.09117016010090435	0.45227103712219624	-4.463355175219694	10720	LOC10720	UGT2B11	NA	1	1.0401472825495417
9447_at	0.2925014817241007	5.461813559322034	1.656691698272715	0.10286959695952086	0.47057712761900494	-4.552880133153083	9447	LOC9447	AIM2	Lymphoid	1	0.9877129617168561
3507_at	0.2920536276389135	4.324559322033898	1.3873267055058287	0.17053951141147888	0.5440852544810341	-4.91583964838913	3507	LOC3507	IGHM	B Cell	1	0.7681749855863447
79745_at	0.28960199526149066	5.5338135593220334	2.8564220293711853	0.00590030820643805	0.24936416486777607	-2.281078175306938	79745	LOC79745	CLIP4	NA	0.2773144857025883	2.22912530211051
